Year,Units,Crop category,Crop,Livestock,Geography,Timber category,Ownership,Value,Value
2013,Timber (000s green tonnes),,,,,,Forestry Commission,5162,5162
2014,Timber (000s green tonnes),,,,,,Forestry Commission,4971,4971
2015,Timber (000s green tonnes),,,,,,Forestry Commission,4764,4764
2016,Timber (000s green tonnes),,,,,,Forestry Commission,5079,5079
2000,Timber (000s green tonnes),,,,,,Private,3096,3096
2001,Timber (000s green tonnes),,,,,,Private,3377,3377
2002,Timber (000s green tonnes),,,,,,Private,3295,3295
2003,Timber (000s green tonnes),,,,,,Private,3536,3536
2004,Timber (000s green tonnes),,,,,,Private,3645,3645
2005,Timber (000s green tonnes),,,,,,Private,3991,3991
2006,Timber (000s green tonnes),,,,,,Private,4053,4053
2007,Timber (000s green tonnes),,,,,,Private,4483,4483
2008,Timber (000s green tonnes),,,,,,Private,4211,4211
2009,Timber (000s green tonnes),,,,,,Private,3715,3715
2010,Timber (000s green tonnes),,,,,,Private,5098,5098
2011,Timber (000s green tonnes),,,,,,Private,5651,5651
2012,Timber (000s green tonnes),,,,,,Private,5761,5761
2013,Timber (000s green tonnes),,,,,,Private,6335,6335
2014,Timber (000s green tonnes),,,,,,Private,7094,7094
2015,Timber (000s green tonnes),,,,,,Private,6458,6458
2016,Timber (000s green tonnes),,,,,,Private,6245,6245
2000,Timber (000s green tonnes),,,,,Softwood,,7422,7422
2001,Timber (000s green tonnes),,,,,Softwood,,7494,7494
2002,Timber (000s green tonnes),,,,,Softwood,,7443,7443
2003,Timber (000s green tonnes),,,,,Softwood,,7907,7907
2004,Timber (000s green tonnes),,,,,Softwood,,8141,8141
2005,Timber (000s green tonnes),,,,,Softwood,,8077,8077
2006,Timber (000s green tonnes),,,,,Softwood,,8243,8243
2007,Timber (000s green tonnes),,,,,Softwood,,8736,8736
2008,Timber (000s green tonnes),,,,,Softwood,,8238,8238
2009,Timber (000s green tonnes),,,,,Softwood,,8392,8392
2010,Timber (000s green tonnes),,,,,Softwood,,9258,9258
2011,Timber (000s green tonnes),,,,,Softwood,,10056,10056
2012,Timber (000s green tonnes),,,,,Softwood,,10118,10118
2013,Timber (000s green tonnes),,,,,Softwood,,10965,10965
2014,Timber (000s green tonnes),,,,,Softwood,,11528,11528
2015,Timber (000s green tonnes),,,,,Softwood,,10691,10659
2015,Timber (000s green tonnes),,,,,Softwood,Forestry Commission,4724,10727
2000,Timber (000s green tonnes),,,,,Softwood,Forestry Commission,4850,4850
2001,Timber (000s green tonnes),,,,,Softwood,Forestry Commission,4604,4604
2002,Timber (000s green tonnes),,,,,Softwood,Forestry Commission,4650,4650
